,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,id,team_name,local_rank,world_rank,rating,average_rank,average_rating,one_year_rank_change,one_year_rating_change,matches_total,matches_home,matches_away,matches_neutral,matches_win,matches_lose,matches_draw,goal_for,goal_against,2017,2016,2015,2014,2013,2012,2011,2010,group
0,0,0,0,0,1,巴西,1,1,2113,4,1993,0,22,960,336,312,312,607,157,196,2085,880,0,0,0,0,0,0,0,0,E
1,1,1,1,1,2,德国,2,2,2109,8,1907,1,71,938,407,380,151,548,200,190,2114,1100,0,0,0,0,0,0,0,0,F
2,2,2,2,2,3,西班牙,3,3,2031,7,1936,3,52,678,297,266,115,397,129,152,1347,615,0,0,0,0,0,0,0,0,B
3,3,3,3,3,4,葡萄牙,4,4,1995,19,1779,4,64,593,277,225,91,284,173,136,991,696,0,0,0,0,0,0,0,0,B
4,4,4,4,4,5,法国,5,5,1989,17,1771,-1,-20,823,422,308,93,399,252,172,1451,1171,0,0,0,0,0,0,0,0,C
5,5,5,5,5,6,阿根廷,6,6,1984,5,1983,-4,-61,1001,352,391,258,535,217,249,1881,1060,0,0,0,0,0,0,0,0,D
6,6,6,6,6,7,英格兰,7,7,1933,4,1982,2,4,1033,448,482,103,603,191,239,2435,1019,0,0,0,0,0,0,0,0,G
7,7,7,7,7,8,比利时,8,8,1928,24,1734,5,22,759,367,330,62,317,279,163,1319,1244,0,0,0,0,0,0,0,0,G
8,8,8,8,8,9,哥伦比亚,9,9,1927,51,1584,1,1,553,163,201,189,215,190,148,695,666,0,0,0,0,0,0,0,0,G
9,9,9,9,9,10,秘鲁,10,12,1881,35,1667,7,48,613,236,221,156,197,263,153,769,882,0,0,0,0,0,0,0,0,C
10,10,10,10,10,11,乌拉圭,11,13,1866,12,1875,-1,-49,916,308,394,214,399,295,222,1457,1155,0,0,0,0,0,0,0,0,A
11,11,11,11,11,12,瑞士,11,13,1866,28,1674,3,9,784,378,349,57,273,342,169,1133,1341,0,0,0,0,0,0,0,0,E
12,12,12,12,12,13,克罗地亚,13,16,1857,12,1874,-1,-24,295,121,127,47,157,58,80,518,282,0,0,0,0,0,0,0,0,D
13,13,13,13,13,14,墨西哥,14,17,1856,20,1775,-6,-61,883,269,239,375,454,223,206,1600,917,0,0,0,0,0,0,0,0,F
14,14,14,14,14,15,波兰,15,18,1843,29,1709,0,-9,818,345,370,103,355,260,203,1401,1107,0,0,0,0,0,0,0,0,G
15,15,15,15,15,16,丹麦,16,19,1842,20,1793,15,125,801,363,360,78,365,275,161,1470,1128,0,0,0,0,0,0,0,0,C
16,16,16,16,16,17,瑞典,17,20,1818,16,1796,8,60,1018,442,463,113,500,298,220,2066,1354,0,0,0,0,0,0,0,0,F
17,17,17,17,17,18,冰岛,18,21,1813,81,1407,5,47,426,185,207,34,134,213,79,512,708,0,0,0,0,0,0,0,0,D
18,18,18,18,18,19,伊朗,19,22,1799,41,1645,2,26,580,201,165,214,321,118,141,1089,460,0,0,0,0,0,0,0,0,B
19,19,19,19,19,20,塞尔维亚,20,23,1770,20,1784,10,41,752,265,368,119,350,238,164,1408,1042,0,0,0,0,0,0,0,0,E
20,20,20,20,20,21,韩国,21,25,1760,37,1679,-4,-31,939,302,229,408,511,197,231,1711,862,0,0,0,0,0,0,0,0,F
21,21,21,21,21,22,塞内加尔,22,27,1752,59,1578,8,39,567,186,217,164,241,168,158,749,563,0,0,0,0,0,0,0,0,H
22,22,22,22,22,23,哥斯达黎加,23,31,1745,34,1695,-9,-41,678,230,242,206,316,200,162,1221,770,0,0,0,0,0,0,0,0,E
23,23,23,23,23,24,澳大利亚,24,35,1728,36,1650,1,18,533,231,195,107,270,149,114,1077,600,0,0,0,0,0,0,0,0,C
24,24,24,24,24,25,日本,25,41,1707,62,1476,-11,-47,705,278,176,251,329,224,152,1225,848,0,0,0,0,0,0,0,0,G
25,25,25,25,25,26,俄罗斯,26,43,1698,22,1739,-4,7,694,250,327,117,361,151,182,1222,680,0,0,0,0,0,0,0,0,A
26,26,26,26,26,27,尼日利亚,27,44,1696,40,1666,5,29,601,211,238,152,275,152,174,900,614,0,0,0,0,0,0,0,0,D
27,27,27,27,27,28,摩洛哥,28,45,1691,44,1652,15,89,604,257,199,148,281,146,177,873,528,0,0,0,0,0,0,0,0,B
28,28,28,28,28,29,巴拿马,29,48,1671,102,1334,-1,0,473,171,177,125,148,208,117,570,743,0,0,0,0,0,0,0,0,G
29,29,29,29,29,30,埃及,30,50,1659,34,1671,-6,-23,750,306,246,198,381,191,178,1330,802,0,0,0,0,0,0,0,0,A
30,30,30,30,30,31,突尼斯,31,53,1624,53,1602,16,52,640,291,216,133,263,194,183,910,710,0,0,0,0,0,0,0,0,G
31,31,31,31,31,32,沙特阿拉伯,32,69,1567,77,1490,-4,-19,685,278,122,285,337,192,156,1107,734,0,0,0,0,0,0,0,0,A
